Month,bNr
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,36
2004-06,0
2004-07,0
2004-08,100
2004-09,0
2004-10,76
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,19
2005-08,36
2005-09,20
2005-10,16
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,22
2006-04,0
2006-05,0
2006-06,25
2006-07,35
2006-08,14
2006-09,31
2006-10,7
2006-11,7
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,22
2007-06,33
2007-07,52
2007-08,13
2007-09,0
2007-10,0
2007-11,0
2007-12,6
2008-01,0
2008-02,0
2008-03,9
2008-04,16
2008-05,0
2008-06,30
2008-07,43
2008-08,14
2008-09,0
2008-10,0
2008-11,8
2008-12,0
2009-01,17
2009-02,7
2009-03,5
2009-04,10
2009-05,23
2009-06,35
2009-07,53
2009-08,17
2009-09,3
2009-10,0
2009-11,0
2009-12,0
2010-01,5
2010-02,7
2010-03,9
2010-04,12
2010-05,19
2010-06,52
2010-07,71
2010-08,22
2010-09,0
2010-10,3
2010-11,2
2010-12,0
2011-01,3
2011-02,0
2011-03,7
2011-04,7
2011-05,26
2011-06,56
2011-07,53
2011-08,23
2011-09,2
2011-10,2
2011-11,0
2011-12,2
2012-01,2
2012-02,3
2012-03,4
2012-04,6
2012-05,15
2012-06,28
2012-07,38
2012-08,18
2012-09,0
2012-10,0
2012-11,1
2012-12,0
2013-01,2
2013-02,3
2013-03,5
2013-04,12
2013-05,18
2013-06,27
2013-07,40
2013-08,20
2013-09,0
2013-10,1
2013-11,2
2013-12,3
2014-01,3
2014-02,5
2014-03,10
2014-04,7
2014-05,14
2014-06,28
2014-07,30
2014-08,13
2014-09,1
2014-10,0
2014-11,1
2014-12,0
2015-01,2
2015-02,4
2015-03,6
2015-04,5
2015-05,20
2015-06,34
2015-07,45
2015-08,18
2015-09,2
2015-10,1
2015-11,3
2015-12,2
2016-01,6
2016-02,7
2016-03,10
2016-04,12
2016-05,11
2016-06,19
2016-07,48
2016-08,22
2016-09,2
2016-10,2
2016-11,0
2016-12,2
2017-01,6
2017-02,8
2017-03,4
2017-04,7
2017-05,19
2017-06,32
2017-07,30
2017-08,15
2017-09,2
2017-10,2
2017-11,2
2017-12,0
2018-01,8
2018-02,6
2018-03,7
2018-04,16
2018-05,17
2018-06,26
2018-07,35
2018-08,17
2018-09,4
2018-10,3
2018-11,1
2018-12,3
2019-01,10
2019-02,7
2019-03,7
2019-04,12
2019-05,16
2019-06,40
2019-07,30
2019-08,16
2019-09,0
2019-10,0
2019-11,1
2019-12,1
2020-01,9
2020-02,6
2020-03,3
2020-04,0
2020-05,12
2020-06,32
2020-07,41
2020-08,20
2020-09,3
2020-10,0
2020-11,1
2020-12,1
2021-01,5
2021-02,8
2021-03,3
2021-04,8
2021-05,12
2021-06,31
2021-07,36
2021-08,20
2021-09,1
2021-10,6
2021-11,0
2021-12,1
2022-01,6
2022-02,7
2022-03,7
2022-04,9
2022-05,11
2022-06,24
2022-07,26
2022-08,11
2022-09,1
2022-10,2
2022-11,0
2022-12,1
2023-01,6
2023-02,4
2023-03,7
2023-04,7
2023-05,11
2023-06,20
