_time,count,normalised
1693519200,48633,36600
1693522800,38862,38304
1693526400,35031,34101
1693530000,45419,41675
1693533600,34490,31783
1693537200,49103,30049
1693540800,35140,30519
1693544400,38767,33228
1693548000,47407,43794
1693551600,64030,62541
1693555200,60213,58415
1693558800,51378,52916
1693562400,48433,45495
1693566000,135311,139695
1693569600,77944,75611
1693573200,78236,72509
1693576800,80831,78587
1693580400,76047,69774
1693584000,60637,57295
1693587600,53342,49099
1693591200,54090,50686
1693594800,45284,44014
1693598400,39640,38577
1693602000,33679,32676
1693605600,27789,26703
1693609200,29139,27435
1693612800,23490,22653
1693616400,20869,19309
1693620000,17979,17459
1693623600,33701,15623
1693627200,19725,19361
1693630800,21851,19624
1693634400,26833,22041
1693638000,29952,25651
1693641600,24509,24796
1693645200,23704,22572
1693648800,18752,18138
1693652400,26912,21113
1693656000,25905,23244
1693659600,23360,21233
1693663200,22116,20807
1693666800,22092,19122
1693670400,19752,18290
1693674000,17123,15640
1693677600,16926,16064
1693681200,18713,18354
1693684800,16971,16895
1693688400,19938,18908
1693692000,19449,19935
1693695600,20621,18719
1693699200,23518,21608
1693702800,20140,19006
1693706400,16253,15678
1693710000,34875,14744
1693713600,14587,14085
1693717200,21684,15226
1693720800,16960,15932
1693724400,22054,20793
1693728000,20901,19144
1693731600,20382,20731
1693735200,21659,19128
1693738800,25859,19644
1693742400,24555,22130
1693746000,21301,19800
1693749600,21737,19384
1693753200,20530,19686
1693756800,17538,17196
1693760400,17071,15773
1693764000,20879,18379
1693767600,17147,16505
1693771200,16261,15674
1693774800,20272,19322
1693778400,23579,22158
1693782000,26745,25624
1693785600,28860,27193
1693789200,39245,37219
1693792800,29621,28375
1693796400,42359,27418
1693800000,30028,28121
1693803600,40591,38754
1693807200,46999,44648
1693810800,64484,63806
1693814400,52566,51360
1693818000,48847,47916
1693821600,50116,45869
1693825200,60693,57003
1693828800,60066,55752
1693832400,56383,53457
1693836000,52639,48496
1693839600,51159,44327
1693843200,41895,39728
1693846800,36981,34630
1693850400,37885,35878
1693854000,31366,31308
1693857600,40853,41158
1693861200,28056,26970
1693864800,24358,22918
1693868400,31390,31828
1693872000,39165,35583
1693875600,50254,46930
1693879200,36790,37601
1693882800,54433,39412
1693886400,31967,29930
1693890000,37313,33862
1693893600,53463,50089
1693897200,66913,64526
1693900800,70952,70169
1693904400,57095,59369
1693908000,56157,50622
1693911600,74473,70938
1693915200,79058,69210
1693918800,85669,82169
1693922400,110429,87295
1693926000,94073,81044
1693929600,77951,70568
1693933200,81021,70456
1693936800,74761,70327
1693940400,79063,67473
1693944000,57664,58543
1693947600,47453,44487
1693951200,37271,37580
1693954800,40113,39328
1693958400,39707,35664
1693962000,51838,44145
1693965600,34247,34531
1693969200,48115,32641
1693972800,37749,36814
1693976400,41545,38166
1693980000,48863,47103
1693983600,66760,66401
1693987200,62036,62572
1693990800,66404,62044
1693994400,53902,52077
1693998000,73749,59728
1694001600,83962,86997
1694005200,95169,100655
1694008800,107394,106830
1694012400,89686,86258
1694016000,91630,91815
1694019600,72683,64048
1694023200,64819,61184
1694026800,65646,61898
1694030400,121986,124205
1694034000,91045,90130
1694037600,40055,38220
1694041200,33372,33396
1694044800,42749,38337
1694048400,47232,42411
1694052000,34055,33700
1694055600,52722,35274
1694059200,38915,35693
1694062800,44288,40853
1694066400,49529,47114
1694070000,69179,67109
1694073600,60936,60636
1694077200,54161,53173
1694080800,52080,46698
1694084400,59766,54642
1694088000,91314,84024
1694091600,85006,81342
1694095200,99307,85006
1694098800,86177,80557
1694102400,74851,71024
1694106000,67474,62792
1694109600,70375,66534
1694113200,63590,62593
1694116800,57389,53717
1694120400,42652,41006
1694124000,36953,38276
1694127600,36213,36073
1694131200,32414,31032
1694134800,46996,42046
1694138400,32921,33770
1694142000,47582,29939
1694145600,33126,31785
1694149200,39490,36709
1694152800,50425,49418
1694156400,64900,62822
1694160000,60568,58710
1694163600,54681,53345
1694167200,45460,42850
1694170800,52415,48825
1694174400,65815,59436
1694178000,73830,69651
1694181600,77147,73427
1694185200,85735,82497
1694188800,74184,71967
1694192400,104712,80655
1694196000,57110,55430
1694199600,58347,55889
1694203200,57167,55993
1694206800,47893,44810
1694210400,35940,35140
1694214000,30932,32176
1694217600,21618,19462
1694221200,19917,19266
1694224800,16392,15843
1694228400,34586,18071
1694232000,21113,21375
1694235600,30336,29875
1694239200,20598,19613
1694242800,26094,24582
1694246400,26786,25322
1694250000,22760,21568
1694253600,20737,19036
1694257200,22781,20910
1694260800,27644,25699
1694264400,23572,22361
1694268000,24110,21492
1694271600,22002,20211
1694275200,19586,17999
1694278800,19744,17349
1694282400,17165,16581
1694286000,15840,15775
1694289600,17322,16263
1694293200,16533,15659
1694296800,16063,15218
1694300400,19242,17268
1694304000,24031,19888
1694307600,29459,25021
1694311200,28361,31103
1694314800,37159,17379
1694318400,14953,13782
1694322000,29320,29814
1694325600,18931,17706
1694329200,23141,22907
1694332800,19363,18851
1694336400,20105,20391
1694340000,17843,16702
1694343600,23101,22630
1694347200,21582,19111
1694350800,18075,16725
1694354400,18648,16827
1694358000,22483,18257
1694361600,20614,19000
1694365200,19262,18188
1694368800,22981,22280
1694372400,18932,18645
1694376000,22181,20504
1694379600,20656,19942
1694383200,24126,22321
1694386800,22808,22463
1694390400,25464,24585
1694394000,45366,44081
1694397600,33730,34009
1694401200,61040,43133
1694404800,32907,33180
1694408400,41724,37356
1694412000,50385,48261
1694415600,70761,67194
1694419200,54643,53342
1694422800,56766,55570
1694426400,51127,48921
1694430000,65652,61686
1694433600,73064,67352
1694437200,88413,79944
1694440800,84606,78689
1694444400,89225,83597
1694448000,69173,69589
1694451600,75070,70215
1694455200,70356,67323
1694458800,65832,66346
1694462400,57766,57684
1694466000,43971,44984
1694469600,36435,34530
1694473200,35589,35238
1694476800,37042,35081
1694480400,49358,46354
1694484000,41593,37039
1694487600,53401,35863
1694491200,41854,40203
1694494800,43757,41167
1694498400,60154,54165
1694502000,71953,69924
1694505600,65837,64180
1694509200,59316,59755
1694512800,49832,46201
1694516400,62201,57566
1694520000,88309,85661
1694523600,92178,87343
1694527200,95687,87479
1694530800,89655,82989
1694534400,74560,71620
1694538000,71320,66699
1694541600,68047,64417
1694545200,85538,71281
1694548800,58704,52804
1694552400,45912,44003
1694556000,36284,36891
1694559600,33910,29684
1694563200,30488,27702
1694566800,38734,36584
1694570400,42260,45369
1694574000,46494,30386
1694577600,33531,30300
1694581200,38462,34088
1694584800,64530,59408
1694588400,79245,79124
1694592000,69381,68503
1694595600,62093,62994
1694599200,51453,47506
1694602800,68293,65740
1694606400,101682,96459
1694610000,92381,87716
1694613600,106783,104822
1694617200,97392,85919
1694620800,82700,78176
1694624400,75242,69926
1694628000,68597,63388
1694631600,69551,63839
1694635200,59192,58971
1694638800,52061,48702
1694642400,49413,44342
1694646000,45335,44111
1694649600,38551,39683
1694653200,44814,40166
1694656800,45382,44263
